"INTERNETID","TRACKINGNO","CA_TYPE","SHIP_DATE"
"100087463","9449010200793880810146","USP","2018-10-11 00:00:00"
"100087464","9449010200882862206784","USP","2018-10-11 00:00:00"
"100087465","9449010200883921953724","USP","2018-10-11 00:00:00"
"100087466","","   ","2018-10-10 00:00:00"
"100087467","","   ","2018-10-10 00:00:00"
"100087468","1Z4248510323453700","UPS","2018-10-11 00:00:00"
"100087469","","   ","2018-10-10 00:00:00"
"100087470","HJ276291343US","USP","2018-10-11 00:00:00"
"100087471","","   ","2018-10-10 00:00:00"
"100087472","","   ","2018-10-10 00:00:00"
"100087473","","   ","2018-10-10 00:00:00"
"100087474","","   ","2018-10-10 00:00:00"
"100087475","","   ","2018-10-10 00:00:00"
"100087476","9449010200883921922959","USP","2018-10-11 00:00:00"
"100087477","","   ","2018-10-10 00:00:00"
"100087478","","   ","2018-10-10 00:00:00"
"100087479","9449010200883921953991","USP","2018-10-11 00:00:00"
"100087481","1Z4248510323453442","UPS","2018-10-11 00:00:00"
"100087481","1Z4248510323453451","UPS","2018-10-11 00:00:00"
"100087482","1Z4248510323453728","UPS","2018-10-11 00:00:00"
"100087483","","   ","2018-10-10 00:00:00"
"100087486","","   ","2018-10-11 00:00:00"
"100087487","9450210200881862410320","USP","2018-10-11 00:00:00"
"100087488","","   ","2018-10-11 00:00:00"
"100087489","9449010200830059375249","USP","2018-10-11 00:00:00"
"100087490","9449010200883921924878","USP","2018-10-11 00:00:00"
"100087491","1Z4248511223453229","UPS","2018-10-11 00:00:00"
"100087493","","   ","2018-10-11 00:00:00"
"100087494","9450210200829862322366","USP","2018-10-11 00:00:00"
"100087495","9449010200829862368166","USP","2018-10-11 00:00:00"
"100087496","9449010200882862653106","USP","2018-10-11 00:00:00"
"100087497","","   ","2018-10-11 00:00:00"
"100087498","","   ","2018-10-11 00:00:00"
"100087503","","   ","2018-10-11 00:00:00"
"100087506","","   ","2018-10-11 00:00:00"
"100087509","","   ","2018-10-11 00:00:00"
"100087512","","   ","2018-10-11 00:00:00"
"100087514","","   ","2018-10-11 00:00:00"
"100087518","","   ","2018-10-11 00:00:00"
"100087520","","   ","2018-10-11 00:00:00"
"100087521","","   ","2018-10-11 00:00:00"
"100087526","","   ","2018-10-11 00:00:00"
"100087529","","   ","2018-10-12 00:00:00"
"100087534","","   ","2018-10-12 00:00:00"
"100087535","","   ","2018-10-12 00:00:00"
"100087537","","   ","2018-10-12 00:00:00"
"100087538","","   ","2018-10-12 00:00:00"
"100087539","","   ","2018-10-12 00:00:00"
"100087542","","   ","2018-10-12 00:00:00"
"100087543","","   ","2018-10-12 00:00:00"
"100087552","","   ","2018-10-12 00:00:00"
